title,budget,revenue,profit,roi,budget_category,vote_average,release_year
Ne Zha 2,80000000,2259822417,2179822417,28.25,High,8.165,2025
Avengers: Infinity War,300000000,2052415039,1752415039,6.84,Blockbuster,8.236,2018
Zootopia 2,150000000,1868208796,1718208796,12.45,Blockbuster,7.651,2025
Avatar: Fire and Ash,350000000,1490477656,1140477656,4.26,Blockbuster,7.547,2025
The Super Mario Galaxy Movie,110000000,991800000,881800000,9.02,High,8.1,2026
Michael,250000000,851300000,601300000,3.41,Blockbuster,7.582,2026
Interstellar,165000000,746606706,581606706,4.52,Blockbuster,8.476,2014
Demon Slayer: Kimetsu no Yaiba Infinity Castle,20000000,733030221,713030221,36.65,Medium,7.728,2025
Project Hail Mary,200000000,676716397,476716397,3.38,Blockbuster,8.654,2026
The Devil Wears Prada 2,100000000,641600000,541600000,6.42,High,6.611,2026
The Matrix,63000000,463517383,400517383,7.36,High,8.247,1999
The Housemaid,35000000,399644671,364644671,11.42,Medium,7.248,2025
Hoppers,150000000,372002428,222002428,2.48,Blockbuster,8.161,2026
Fifty Shades Freed,55000000,371985018,316985018,6.76,High,6.675,2018
The Devil Wears Prada,35000000,326588371,291588371,9.33,Medium,7.428,2006
Real Steel,110000000,299300000,189300000,2.72,High,7.095,2011
The Mandalorian and Grogu,165000000,246600000,81600000,1.49,Blockbuster,6.837,2026
Dhurandhar: The Revenge,14330000,210000000,195670000,14.65,Medium,7.3,2026
GOAT,90000000,193566330,103566330,2.15,High,8.117,2026
Predator: Badlands,105000000,184500000,79500000,1.76,High,7.763,2025
Dhurandhar,14330000,170000000,155670000,11.86,Medium,7.2,2025
Obsession,750000,166601860,165851860,222.14,Low,7.909,2026
Backrooms,10000000,134957843,124957843,13.5,Medium,6.727,2026
The Drama,28000000,130576136,102576136,4.66,Medium,6.953,2026
Mortal Kombat II,80000000,126827614,46827614,1.59,High,6.739,2026
The Sheep Detectives,75000000,97372742,22372742,1.3,High,7.635,2026
Send Help,40000000,94041481,54041481,2.35,Medium,7.046,2026
Lee Cronin's The Mummy,22000000,90152113,68152113,4.1,Medium,8.056,2026
Mortal Kombat,20000000,84426031,64426031,4.22,Medium,7.037,2021
Shelter,50000000,53933639,3933639,1.08,High,7.631,2026
Iron Lung,4000000,51226173,47226173,12.81,Low,7.209,2026
Greenland 2: Migration,90000000,44856736,-45143264,0.5,High,6.437,2026
Dracula,52000000,42404858,-9595142,0.82,High,7.131,2025
Ready or Not: Here I Come,14000000,42212563,28212563,3.02,Medium,7.706,2026
Damage,11000000,31000000,20000000,2.82,Medium,6.56,1992
The Shawshank Redemption,25000000,28341469,3341469,1.13,Medium,8.721,1994
Hokum,5000000,23563104,18563104,4.71,Low,7.0,2026
After We Fell,14000000,21753705,7753705,1.55,Medium,7.004,2021
Bhooth Bangla,14000000,20000000,6000000,1.43,Medium,6.5,2026
In the Grey,70000000,13478954,-56521046,0.19,High,6.6,2026
Your Heart Will Be Broken,3716000,7578000,3862000,2.04,Low,6.8,2026
Nymphomaniac: Vol. II,2350000,4934725,2584725,2.1,Low,6.712,2013
Fuze,45000000,2890908,-42109092,0.06,Medium,6.403,2026
Rita,1,2,1,2.0,Low,6.2,2024
