director,movie_count,avg_rating,avg_popularity
Yohei Kameyama,1,9.33,32.85
Ihtzi Hurtado,1,9.05,31.47
Riteish Deshmukh,1,9.0,19.24
Nathan Greno,1,8.97,181.28
Phil Lord,1,8.68,172.03
Taweewat Wantha,1,8.65,45.02
Antoine Fuqua,1,8.63,611.21
Frank Darabont,2,8.61,58.55
Sidney Lumet,1,8.6,23.91
Olivia Newman,1,8.57,35.38
Francis Ford Coppola,1,8.57,26.82
Bong Joon Ho,1,8.49,37.72
Makoto Shinkai,1,8.48,27.16
Sergio Leone,1,8.47,22.02
Hayao Miyazaki,3,8.41,26.05
Tatsuya Yoshihara,1,8.4,28.27
Robert Zemeckis,2,8.4,23.45
Bob Persichetti,1,8.39,24.52
Adrian Grünberg,1,8.37,21.54
Reinaldo Marcus Green,1,8.36,172.62
Quentin Tarantino,2,8.35,28.06
Kemp Powers,1,8.34,28.47
Éric Toledano,1,8.3,23.23
Chris Sanders,1,8.3,37.92
Martin Scorsese,2,8.26,26.46
Lana Wachowski,1,8.25,50.74
Roger Allers,1,8.25,28.74
Joe Russo,2,8.24,44.87
David Fincher,3,8.24,25.28
Joel Crawford,1,8.2,19.5
