movie_id,title,original_language,popularity,vote_average,vote_count,runtime,budget,revenue,director,release_date,release_year,release_month,budget_category,rating_category,status,tagline,overview,decade
1339713,Obsession,en,770.2638,7.9,768,108,750000,286494000,Curry Barker,2026-05-13,2026,5,Low,Good,Released,Be careful who you wish for…,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",2020s
879945,The Unknown Man,nl,697.808,7.833,9,23,0,0,Anthony Schatteman,2021-10-16,2021,10,Unknown,Good,Released,A dangerous fascination.,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",2020s
936075,Michael,en,611.2146,8.626,2361,128,250000000,932200000,Antoine Fuqua,2026-04-22,2026,4,Blockbuster,Excellent,Released,Discover the making of a king.,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",2020s
931285,Mortal Kombat II,en,607.1981,8.016,1317,116,80000000,128751044,Simon McQuoid,2026-05-06,2026,5,High,Excellent,Released,Their fight. Our future.,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",2020s
1057265,Peddi,te,597.1214,6.838,40,192,36500000,0,Buchi Babu Sana,2026-06-03,2026,6,Medium,Average,Released,Hurt. Bruised. But not beaten.,"In 1980s rural Andhra Pradesh, a spirited villager unites his community through sports to defend their pride against a powerful rival.",2020s
1308553,Hai Jawani Toh Ishq Hona Hai,hi,483.2393,5.188,16,136,0,0,David Dhawan,2026-06-04,2026,6,Unknown,Average,Released,,"When Jass leaves his marriage over conflicting priorities, a new romance abroad is upended by shocking revelations, forcing him to confront love, loyalty, and the true meaning of commitment.",2020s
1367220,Karuppu,ta,467.9328,7.2,16,151,16000000,36000000,RJ Balaji,2026-05-14,2026,5,Medium,Good,Released,,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless.",2020s
1275779,Disclosure Day,en,371.3022,6.9,334,145,115000000,92900000,Steven Spielberg,2026-06-10,2026,6,High,Average,Released,We deserve to know.,"If you found out we weren’t alone, if someone showed you, proved it to you, would that frighten you?",2020s
1226863,The Super Mario Galaxy Movie,en,334.6102,8.177,2594,98,110000000,1000843925,Michael Jelenic,2026-04-01,2026,4,High,Excellent,Released,The galaxy awaits.,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",2020s
1228710,The Mandalorian and Grogu,en,315.2204,6.8,468,132,165000000,315100000,Jon Favreau,2026-05-20,2026,5,Blockbuster,Average,Released,"If you're searching for new adventure, ""this is the way.""","The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",2020s
