rating_category,budget_category,movie_count,avg_rating,avg_revenue
Average,Blockbuster,12,6.68,771444315.0
Average,High,17,6.68,378247570.0
Average,Low,12,6.13,11879339.0
Average,Medium,28,6.28,126155021.0
Average,Unknown,69,5.99,1067860.0
Excellent,Blockbuster,12,8.32,1147597243.0
Excellent,High,24,8.23,607603569.0
Excellent,Low,8,8.48,118521125.0
Excellent,Medium,20,8.31,264088540.0
Excellent,Unknown,10,8.76,196911.0
Good,Blockbuster,38,7.53,1050681991.0
Good,High,36,7.49,411857590.0
Good,Low,7,7.38,94100314.0
Good,Medium,25,7.36,142503493.0
Good,Unknown,30,7.36,7208902.0
Poor,Blockbuster,2,0.0,0.0
Poor,Medium,3,4.16,26204660.0
Poor,Unknown,31,2.88,0.0
