release_year,movie_count,avg_rating,avg_popularity,total_budget,total_revenue
1990,1,8.5,22.38,0.0,0.0
1991,1,6.1,134.46,0.0,0.0
1992,1,6.56,121.86,11000000.0,31000000.0
1993,1,8.6,24.05,0.0,0.0
1994,4,8.51,40.05,25000000.0,28341469.0
1995,6,7.05,43.46,0.0,0.0
1996,1,6.7,20.8,0.0,0.0
1997,2,6.23,27.17,0.0,0.0
1998,2,8.19,17.34,0.0,0.0
1999,7,7.6,47.74,63000000.0,463517383.0
2000,4,7.57,25.81,0.0,0.0
2001,5,8.1,31.72,0.0,0.0
2002,7,6.86,26.65,0.0,0.0
2003,3,8.05,28.55,0.0,0.0
2004,5,6.93,26.19,0.0,0.0
2005,2,7.42,21.55,0.0,0.0
2006,3,7.48,61.43,35000000.0,326588371.0
2007,5,7.3,19.78,0.0,0.0
2008,6,7.32,25.98,0.0,0.0
2009,7,6.93,26.3,0.0,0.0
2010,7,7.16,28.15,0.0,844281.0
2011,6,7.58,35.04,110000000.0,299300000.0
2012,6,7.15,22.55,0.0,0.0
2013,6,7.15,39.79,2350000.0,4934725.0
2014,10,7.39,33.79,165000000.0,764141020.0
2015,5,6.59,21.39,0.0,0.0
2016,6,7.52,24.87,0.0,0.0
2017,7,7.0,28.53,0.0,0.0
2018,4,7.05,35.51,355000000.0,2424400057.0
2019,7,6.65,24.43,0.0,0.0
2020,1,7.13,18.54,0.0,0.0
2021,8,7.31,48.08,34000000.0,106179736.0
2022,10,6.99,23.52,0.0,0.0
2023,13,6.95,44.81,0.0,0.0
2024,21,6.8,31.99,1.0,2.0
2025,59,6.92,41.04,816330000.0,7322488619.0
2026,120,6.18,75.73,2057296000.0,5285910152.0
