adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,runtime,budget,revenue,status,tagline,director
False,/4k99kV4R1bbbrsnjR205v91Xbin.jpg,27,1339713,Obsession,en,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",770.2638,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,2026-05-13,False,False,7.9,768,108,750000,286494000,Released,Be careful who you wish for…,Curry Barker
False,/7uXzE0ZBkbAeKylOz7cUQF4Yw75.jpg,18,879945,The Unknown Man,nl,L'homme inconnu,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",697.808,/4TpBhdaSl5ALHbgeaYOLF8Q3haz.jpg,2021-10-16,False,False,7.833,9,23,0,0,Released,A dangerous fascination.,Anthony Schatteman
False,/ufSwlnECLoUbBjPrFqEQcWBzHwc.jpg,"10402,18",936075,Michael,en,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",611.2146,/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg,2026-04-22,False,False,8.626,2361,128,250000000,932200000,Released,Discover the making of a king.,Antoine Fuqua
False,/laR2dpcNpbv83jdlRUNAYPPjH90.jpg,"28,14,12",931285,Mortal Kombat II,en,Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",607.1981,/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,2026-05-06,False,False,8.016,1317,116,80000000,128751044,Released,Their fight. Our future.,Simon McQuoid
False,/oPsRr7AfNLw6XaPuMpvkWK0bIUA.jpg,"28,18",1057265,Peddi,te,పెద్ది,"In 1980s rural Andhra Pradesh, a spirited villager unites his community through sports to defend their pride against a powerful rival.",597.1214,/kJAJNNBYlbqAcpTDxBNnaILSMTy.jpg,2026-06-03,False,False,6.838,40,192,36500000,0,Released,Hurt. Bruised. But not beaten.,Buchi Babu Sana
False,/l5QgEvlfK6eHPM4YPEk7AArXmh8.jpg,"10749,35",1308553,Hai Jawani Toh Ishq Hona Hai,hi,है जवानी तो इश्क होना है,"When Jass leaves his marriage over conflicting priorities, a new romance abroad is upended by shocking revelations, forcing him to confront love, loyalty, and the true meaning of commitment.",483.2393,/vmlJvz6qVzYgei2V74GvnmcuQfW.jpg,2026-06-04,False,False,5.188,16,136,0,0,Released,,David Dhawan
False,/1eAuwNBy34kkM3xkl202z4f1NiI.jpg,"28,14",1367220,Karuppu,ta,கருப்பு,"In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless.",467.9328,/4KZXlZ5tTT6ghbW77gS4hSLkCd7.jpg,2026-05-14,False,False,7.2,16,151,16000000,36000000,Released,,RJ Balaji
False,/s6ly8laenkHWlIBRkLSfIuEMLC6.jpg,"28,878,53",1275779,Disclosure Day,en,Disclosure Day,"If you found out we weren’t alone, if someone showed you, proved it to you, would that frighten you?",371.3022,/3o5YPjDGDTcTDL5ftDA9NwN9dLd.jpg,2026-06-10,False,False,6.9,334,145,115000000,92900000,Released,We deserve to know.,Steven Spielberg
False,/9Z2uDYXqJrlmePznQQJhL6d92Rq.jpg,"10751,35,12,14,16",1226863,The Super Mario Galaxy Movie,en,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",334.6102,/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,2026-04-01,False,False,8.177,2594,98,110000000,1000843925,Released,The galaxy awaits.,Michael Jelenic
False,/6zg7A9ICOthNR2TSXlT51KvXrsA.jpg,"28,12,878",1228710,The Mandalorian and Grogu,en,The Mandalorian and Grogu,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",315.2204,/5Vi8dSauVwH1HOsiZceDMbRr1Ca.jpg,2026-05-20,False,False,6.8,468,132,165000000,315100000,Released,"If you're searching for new adventure, ""this is the way.""",Jon Favreau
